lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-3.1,5.7,-0.4,4,0.9992,0.0003998399679871993,0.669,0.00665490796330047
-3.0,5.7,-0.4,4,0.997,0.0007734339015067807,0.5662,0.007008816733229654
-2.9,5.7,-0.4,4,0.9942,0.0010739050237334796,0.469,0.00705746413380897
-2.8,5.7,-0.4,4,0.986,0.0016615655268450904,0.3438,0.006717165473620551
-2.7,5.7,-0.4,4,0.9778,0.002083610328252382,0.2692,0.006272660679488409
-2.6,5.7,-0.4,4,0.9594,0.0027911159058699076,0.1746,0.005368702636578041
-2.5,5.7,-0.4,4,0.9292,0.0036273229798296147,0.1208,0.004608847144351828
-3.5,5.8,-0.4,4,1.0,0.0,0.9172,0.003897285208962772
-3.4,5.8,-0.4,4,1.0,0.0,0.8662,0.00481451056702548
-3.3,5.8,-0.4,4,0.9998,0.00019997999899988897,0.8056,0.0055965818139289275
-3.2,5.8,-0.4,4,0.999,0.0004469899327725404,0.7082,0.006428884195566132
-3.1,5.8,-0.4,4,0.9972,0.000747283078893136,0.631,0.00682406037487946
-3.0,5.8,-0.4,4,0.996,0.0008926365441768563,0.5168,0.00706707520831638
-2.9,5.8,-0.4,4,0.9906,0.0013646713890164155,0.4122,0.006961194725045407
-2.8,5.8,-0.4,4,0.9866,0.0016260651893451239,0.3096,0.006538315379361874
-2.7,5.8,-0.4,4,0.974,0.0022505110530721692,0.2178,0.005837176714816847
-2.6,5.8,-0.4,4,0.9498,0.003088040155179334,0.155,0.005118105118107678
-2.5,5.8,-0.4,4,0.9154,0.003935551803750016,0.1082,0.004393011723180351
-3.5,5.9,-0.4,4,0.9996,0.0002827861382741226,0.895,0.004335320057389074
-3.4,5.9,-0.4,4,0.9994,0.0003463062228721987,0.8318,0.005289778067178245
-3.3,5.9,-0.4,4,1.0,0.0,0.7594,0.006045025061982787
-3.2,5.9,-0.4,4,0.9984,0.0005652326954449903,0.683,0.006580440714724204
-3.1,5.9,-0.4,4,0.9962,0.0008701218305501851,0.579,0.006982248921371967
-3.0,5.9,-0.4,4,0.9924,0.00122818891055082,0.4732,0.007060903058391327
-2.9,5.9,-0.4,4,0.9874,0.0015774181436765552,0.3774,0.006855205905003875
-2.8,5.9,-0.4,4,0.9786,0.0020465600406535827,0.285,0.006383964285614387
